time,lon,lat,speed,weight,state
2024-07-25 12:49:19,86.187183,54.278131,0,1,0
2024-07-25 12:49:16,86.187183,54.278131,0,1,0
2024-07-25 12:49:14,86.187183,54.278131,0,1,0
2024-07-25 12:49:08,86.187183,54.278131,0,1,0
2024-07-25 12:49:05,86.187183,54.278131,0,1,0
2024-07-25 12:49:01,86.187183,54.278131,0,1,0
2024-07-25 12:48:55,86.187183,54.278131,0,1,0
2024-07-25 12:48:54,86.187183,54.278131,0,1,0
2024-07-25 12:48:49,86.187183,54.278131,0,1,0
2024-07-25 12:48:48,86.187183,54.278131,0,1,0
2024-07-25 12:48:43,86.187183,54.278131,0,1,0
2024-07-25 12:48:37,86.187183,54.278131,0,1,0
2024-07-25 12:48:32,86.187183,54.278131,0,1,0
2024-07-25 12:48:31,86.187183,54.278131,0,1,0
2024-07-25 12:48:25,86.187183,54.278131,0,1,0
2024-07-25 12:48:21,86.187183,54.278131,0,1,0
2024-07-25 12:48:19,86.187183,54.278131,0,1,0
2024-07-25 12:48:18,86.187183,54.278131,0,1,0
2024-07-25 12:48:13,86.187183,54.278131,0,1,0
2024-07-25 12:48:10,86.187183,54.278131,0,1,0
2024-07-25 12:48:07,86.187183,54.278131,0,1,0
2024-07-25 12:48:00,86.187183,54.278131,0,1,0
2024-07-25 12:47:59,86.187183,54.278131,0,1,0
2024-07-25 12:47:54,86.187183,54.278131,0,1,0
2024-07-25 12:47:48,86.187183,54.278131,0,1,0
2024-07-25 12:47:47,86.187183,54.278131,0,1,0
2024-07-25 12:47:42,86.187183,54.278131,0,1,0
2024-07-25 12:47:37,86.187183,54.278131,0,1,0
2024-07-25 12:47:36,86.187183,54.278131,0,1,0
2024-07-25 12:47:30,86.187183,54.278131,0,1,0
2024-07-25 12:47:26,86.187183,54.278131,0,1,0
2024-07-25 12:47:24,86.187183,54.278131,0,1,0
2024-07-25 12:47:18,86.187183,54.278131,0,1,0
2024-07-25 12:47:16,86.187183,54.278131,0,1,0
2024-07-25 12:47:15,86.187183,54.278131,0,1,0
2024-07-25 12:47:12,86.187183,54.278131,0,1,0
2024-07-25 12:47:05,86.187183,54.278131,0,1,0
2024-07-25 12:47:04,86.187183,54.278131,0,1,0
2024-07-25 12:46:59,86.187183,54.278131,0,1,0
2024-07-25 12:46:53,86.187183,54.278131,0,1,0
2024-07-25 12:46:47,86.187183,54.278131,0,1,0
2024-07-25 12:46:46,86.187183,54.278131,0,1,0
2024-07-25 12:46:42,86.187183,54.278131,0,1,0
2024-07-25 12:46:41,86.187183,54.278131,0,1,0
2024-07-25 12:46:35,86.187183,54.278131,0,1,0
2024-07-25 12:46:31,86.187183,54.278131,0,1,0
2024-07-25 12:46:29,86.187183,54.278131,0,1,0
2024-07-25 12:46:23,86.187183,54.278131,0,1,0
2024-07-25 12:46:20,86.187183,54.278131,0,1,0
2024-07-25 12:46:16,86.187183,54.278131,0,1,0
2024-07-25 12:46:15,86.187183,54.278131,0,1,0
2024-07-25 12:46:10,86.187183,54.278131,0,1,0
2024-07-25 12:46:09,86.187183,54.278131,0,1,0
2024-07-25 12:46:04,86.187183,54.278131,0,1,0
2024-07-25 12:45:58,86.187183,54.278131,0,1,0
2024-07-25 12:45:52,86.187183,54.278131,0,1,0
2024-07-25 12:45:47,86.187183,54.278131,0,1,0
2024-07-25 12:45:46,86.187183,54.278131,0,1,0
2024-07-25 12:45:45,86.187183,54.278131,0,1,0
2024-07-25 12:45:40,86.187183,54.278131,0,1,0
2024-07-25 12:45:36,86.187183,54.278131,0,1,0
2024-07-25 12:45:34,86.187183,54.278131,0,1,0
2024-07-25 12:45:27,86.187183,54.278131,0,1,0
2024-07-25 12:45:25,86.187183,54.278131,0,1,0
2024-07-25 12:45:21,86.187183,54.278131,0,1,0
2024-07-25 12:45:15,86.187183,54.278131,0,1,0
2024-07-25 12:45:14,86.187183,54.278131,0,1,0
2024-07-25 12:45:09,86.187183,54.278131,0,1,0
2024-07-25 12:45:03,86.187183,54.278131,0,1,0
2024-07-25 12:44:57,86.187183,54.278131,0,1,0
2024-07-25 12:44:52,86.187183,54.278131,0,1,0
2024-07-25 12:44:51,86.187183,54.278131,0,1,0
2024-07-25 12:44:45,86.187183,54.278131,0,1,0
2024-07-25 12:44:44,86.187183,54.278131,0,1,0
2024-07-25 12:44:41,86.187183,54.278131,0,1,0
2024-07-25 12:44:39,86.187183,54.278131,0,1,0
2024-07-25 12:44:33,86.187183,54.278131,0,1,0
2024-07-25 12:44:30,86.187183,54.278131,0,1,0
2024-07-25 12:44:26,86.187183,54.278131,0,1,0
2024-07-25 12:44:20,86.187183,54.278131,0,1,0
2024-07-25 12:44:19,86.187183,54.278131,0,1,0
2024-07-25 12:44:14,86.187183,54.278131,0,1,0
2024-07-25 12:44:13,86.187183,54.278131,0,1,0
2024-07-25 12:44:08,86.187183,54.278131,0,1,0
2024-07-25 12:44:03,86.187183,54.278131,0,1,0
2024-07-25 12:43:58,86.187183,54.278131,0,1,0
2024-07-25 12:43:57,86.187183,54.278131,0,1,0
2024-07-25 12:43:50,86.187183,54.278131,0,1,0
